latitude,longitude,timestamp,altitude
23.5482,87.3019266667,06:59:42,96.7
23.5482016667,87.3020133333,06:59:43,97.0
23.5482016667,87.3021016667,06:59:44,97.3
23.5481983333,87.3021883333,06:59:45,97.5
23.5481983333,87.302275,06:59:46,97.7
23.5482016667,87.3023633333,06:59:47,98.1
23.5482066667,87.30245,06:59:48,98.5
23.5482133333,87.302535,06:59:49,98.6
23.5482166667,87.3026183333,06:59:50,98.9
23.5482216667,87.3026983333,06:59:51,98.7
23.5482216667,87.3027733333,06:59:52,98.8
23.5482216667,87.3028516667,06:59:53,98.9
23.5482183333,87.3029316667,06:59:54,98.9
23.5482183333,87.3030133333,06:59:55,98.9
23.5482166667,87.3030983333,06:59:56,99.1
23.548215,87.3031866667,06:59:57,99.8
23.5482116667,87.3032716667,06:59:58,100.1
23.5482116667,87.3033533333,06:59:59,100.4
23.548215,87.30343,07:00:00,100.5
23.54822,87.3035016667,07:00:01,100.4
23.5482233333,87.3035666667,07:00:02,100.6
23.5482266667,87.303625,07:00:03,100.6
23.5482266667,87.3036733333,07:00:04,100.5
23.548225,87.303715,07:00:05,100.9
23.548225,87.30375,07:00:06,100.9
23.548225,87.3037733333,07:00:07,101.1
23.5482283333,87.3037833333,07:00:08,101.2
23.5482266667,87.3037883333,07:00:09,101.2
23.5482266667,87.3037883333,07:00:10,101.0
23.548225,87.3037866667,07:00:11,100.9
23.548225,87.3037866667,07:00:12,100.9
23.548225,87.3037866667,07:00:13,100.9
23.548225,87.3037866667,07:00:14,100.9
23.548225,87.3037866667,07:00:15,100.9
23.548225,87.3037866667,07:00:16,100.9
23.548225,87.3037866667,07:00:17,100.9
23.5482266667,87.3037866667,07:00:18,100.9
23.5482266667,87.303785,07:00:19,100.9
23.5482266667,87.303785,07:00:20,100.9
23.5482266667,87.303785,07:00:21,100.9
23.548225,87.3037866667,07:00:22,100.9
23.548225,87.3037866667,07:00:23,101.0
23.548225,87.3037866667,07:00:24,101.0
23.548225,87.3037866667,07:00:25,101.0
23.548225,87.3037866667,07:00:26,101.0
23.548225,87.3037866667,07:00:27,101.0
23.548225,87.3037866667,07:00:28,101.0
23.548225,87.3037866667,07:00:29,101.0
23.548225,87.3037866667,07:00:30,101.0
23.548225,87.3037866667,07:00:31,101.0
23.548225,87.3037866667,07:00:32,100.9
23.548225,87.3037866667,07:00:33,100.9
23.548225,87.3037866667,07:00:34,100.9
23.548225,87.30379,07:00:35,101.0
23.548225,87.3038066667,07:00:36,100.8
23.548225,87.3038333333,07:00:37,100.7
23.5482216667,87.303865,07:00:38,100.6
23.5482183333,87.30391,07:00:39,100.5
23.54822,87.3039633333,07:00:40,100.5
23.54822,87.30402,07:00:41,100.4
23.54822,87.3040766667,07:00:42,100.4
23.54822,87.3041366667,07:00:43,100.2
23.5482183333,87.3042016667,07:00:44,100.0
23.5482166667,87.3042733333,07:00:45,99.7
23.5482133333,87.30435,07:00:46,99.8
23.5482116667,87.30443,07:00:47,99.6
23.54821,87.3045133333,07:00:48,99.6
23.5482083333,87.3045983333,07:00:49,99.8
23.548205,87.3046866667,07:00:50,100.1
23.5482066667,87.304775,07:00:51,100.0
23.5482066667,87.304865,07:00:52,99.9
23.5482066667,87.304955,07:00:53,99.5
23.548205,87.305045,07:00:54,99.2
23.5482033333,87.305135,07:00:55,98.7
23.5482,87.3052266667,07:00:56,98.4
23.5481966667,87.30532,07:00:57,98.3
23.548195,87.305415,07:00:58,98.2
23.5481966667,87.30551,07:00:59,98.0
23.5482016667,87.305605,07:01:00,97.7
23.5482033333,87.3057033333,07:01:01,97.2
23.548205,87.3057966667,07:01:02,96.7
23.548205,87.3058916667,07:01:03,95.9
23.548205,87.305985,07:01:04,95.3
23.548205,87.3060766667,07:01:05,94.8
23.5482016667,87.3061666667,07:01:06,94.6
23.5481983333,87.306255,07:01:07,94.4
23.5481916667,87.306345,07:01:08,94.9
23.5481883333,87.306435,07:01:09,94.9
23.548185,87.3065266667,07:01:10,94.8
23.5481816667,87.3066183333,07:01:11,94.6
23.5481816667,87.30671,07:01:12,94.5
23.5481816667,87.3068,07:01:13,94.2
23.54818,87.3068816667,07:01:14,93.8
23.54818,87.30697,07:01:15,93.2
23.5481833333,87.3070616667,07:01:16,92.4
23.5481866667,87.30715,07:01:17,91.7
23.5481883333,87.307235,07:01:18,90.8
23.54819,87.3073233333,07:01:19,90.3
23.5481883333,87.3074066667,07:01:20,89.9
23.5481866667,87.307485,07:01:21,89.7
23.548185,87.3075583333,07:01:22,89.9
23.5481816667,87.3076233333,07:01:23,89.9
23.5481716667,87.3076816667,07:01:24,90.7
23.54816,87.3077316667,07:01:25,91.1
23.5481483333,87.3077683333,07:01:26,91.7
23.5481383333,87.3077933333,07:01:27,92.0
23.5481316667,87.3078066667,07:01:28,92.5
23.5481316667,87.3078116667,07:01:29,93.1
23.5481333333,87.3078083333,07:01:30,93.0
23.548135,87.3078066667,07:01:31,93.0
23.548135,87.3078066667,07:01:32,93.0
23.548135,87.3078066667,07:01:33,93.0
23.548135,87.3078083333,07:01:34,93.0
23.5481266667,87.3078216667,07:01:35,93.0
23.5481116667,87.307845,07:01:36,93.0
23.5480916667,87.3078716667,07:01:37,93.0
23.5480683333,87.3079033333,07:01:38,92.8
23.5480416667,87.307935,07:01:39,92.6
23.548015,87.3079716667,07:01:40,92.4
23.5479866667,87.30801,07:01:41,92.0
23.5479583333,87.30805,07:01:42,91.6
23.54793,87.3080916667,07:01:43,91.0
23.5479033333,87.3081366667,07:01:44,90.7
23.5478733333,87.3081833333,07:01:45,90.4
23.5478416667,87.3082316667,07:01:46,90.1
23.5478116667,87.30828,07:01:47,89.8
23.54778,87.30833,07:01:48,89.3
23.5477483333,87.308385,07:01:49,89.1
23.5477183333,87.3084366667,07:01:50,88.7
23.5476883333,87.30849,07:01:51,88.2
23.5476583333,87.30854,07:01:52,87.7
23.547625,87.30859,07:01:53,87.2
23.54759,87.30864,07:01:54,86.7
23.5475516667,87.308695,07:01:55,86.3
23.547515,87.3087516667,07:01:56,86.1
23.5474783333,87.3088133333,07:01:57,85.8
23.54744,87.308875,07:01:58,85.7
23.5474016667,87.30894,07:01:59,85.5
23.5473616667,87.3090066667,07:02:00,85.5
23.54732,87.3090766667,07:02:01,85.5
23.547275,87.3091466667,07:02:02,85.7
23.5472316667,87.3092183333,07:02:03,85.7
23.54719,87.30929,07:02:04,85.7
23.54715,87.3093633333,07:02:05,85.9
23.5471133333,87.3094316667,07:02:06,86.1
23.5470783333,87.3094966667,07:02:07,86.3
23.547045,87.3095566667,07:02:08,86.6
23.547015,87.3096133333,07:02:09,87.0
23.546985,87.3096666667,07:02:10,87.5
23.546955,87.30972,07:02:11,87.9
23.546925,87.3097683333,07:02:12,88.4
23.5468966667,87.3098116667,07:02:13,88.8
23.546865,87.3098466667,07:02:14,89.1
23.5468333333,87.3098733333,07:02:15,89.3
23.5467983333,87.3098916667,07:02:16,89.5
23.546765,87.3099016667,07:02:17,89.8
23.5467316667,87.309905,07:02:18,90.1
23.546695,87.3099,07:02:19,90.2
23.5466566667,87.3098916667,07:02:20,90.2
23.5466183333,87.3098766667,07:02:21,90.3
23.5465783333,87.309855,07:02:22,90.2
23.54654,87.3098233333,07:02:23,90.1
23.5464983333,87.3097933333,07:02:24,90.1
23.5464566667,87.30976,07:02:25,90.3
23.546415,87.3097283333,07:02:26,90.5
23.5463716667,87.3096966667,07:02:27,90.8
23.5463283333,87.3096633333,07:02:28,91.2
23.5462833333,87.30963,07:02:29,91.6
23.5462366667,87.3095966667,07:02:30,91.8
23.5461883333,87.3095616667,07:02:31,92.1
23.5461383333,87.3095233333,07:02:32,92.3
23.5460866667,87.3094833333,07:02:33,92.5
23.5460333333,87.3094433333,07:02:34,92.6
23.5459783333,87.3094033333,07:02:35,92.7
23.5459233333,87.3093666667,07:02:36,92.7
23.5458683333,87.3093316667,07:02:37,93.0
23.5458133333,87.309295,07:02:38,93.2
23.5457583333,87.309255,07:02:39,93.5
23.5457016667,87.309215,07:02:40,93.8
23.545645,87.3091716667,07:02:41,93.8
23.5455883333,87.3091316667,07:02:42,93.9
23.54553,87.30909,07:02:43,93.9
23.54547,87.3090466667,07:02:44,93.7
23.5454116667,87.309005,07:02:45,93.4
23.5453516667,87.3089616667,07:02:46,93.3
23.5452916667,87.30892,07:02:47,93.3
23.5452316667,87.3088733333,07:02:48,93.5
23.5451716667,87.30883,07:02:49,94.0
23.5451116667,87.3087883333,07:02:50,94.2
23.54505,87.3087483333,07:02:51,94.5
23.5449883333,87.3087066667,07:02:52,94.8
23.5449283333,87.3086633333,07:02:53,94.6
23.5448666667,87.3086166667,07:02:54,94.4
23.5448083333,87.308575,07:02:55,94.4
23.5447516667,87.3085333333,07:02:56,94.7
23.5446983333,87.3084916667,07:02:57,95.0
23.544645,87.3084516667,07:02:58,95.4
23.5445933333,87.308415,07:02:59,95.8
23.5445416667,87.30838,07:03:00,96.0
23.5444933333,87.3083516667,07:03:01,96.4
23.5444516667,87.3083266667,07:03:02,96.8
23.5444183333,87.3083066667,07:03:03,96.0
23.5443933333,87.30829,07:03:04,96.1
23.54438,87.3082816667,07:03:05,96.1
23.544375,87.30828,07:03:06,96.2
23.544375,87.30828,07:03:07,96.2
23.5443766667,87.3082816667,07:03:08,96.1
23.5443766667,87.308285,07:03:09,96.0
23.5443766667,87.308285,07:03:10,96.0
23.5443766667,87.308285,07:03:11,96.0
23.5443783333,87.308285,07:03:12,96.0
23.5443783333,87.308285,07:03:13,96.0
23.5443783333,87.308285,07:03:14,96.0
23.5443766667,87.308285,07:03:15,96.0
23.5443766667,87.3082833333,07:03:16,96.0
23.5443733333,87.3082816667,07:03:17,96.0
23.5443616667,87.308275,07:03:18,96.2
23.5443416667,87.3082666667,07:03:19,96.4
23.5443133333,87.3082516667,07:03:20,96.6
23.544285,87.30823,07:03:21,96.7
23.5442516667,87.3082033333,07:03:22,96.7
23.5442216667,87.3081816667,07:03:23,96.9
23.54419,87.3081583333,07:03:24,97.2
23.5441566667,87.3081366667,07:03:25,97.4
23.54412,87.30811,07:03:26,97.7
23.5440816667,87.30808,07:03:27,97.7
23.54404,87.3080466667,07:03:28,97.5
23.5439983333,87.308015,07:03:29,97.7
23.543955,87.3079816667,07:03:30,97.8
23.54391,87.30795,07:03:31,98.1
