lat,long,time
23.5417383333,87.3001083333,14:53:50
23.5417333333,87.3001033333,14:53:51
23.5417316667,87.3001016667,14:53:52
23.5417316667,87.3001016667,14:53:53
23.5417333333,87.3001016667,14:53:54
23.5417333333,87.3001016667,14:53:55
23.5417333333,87.3001016667,14:53:56
23.5417333333,87.3001016667,14:53:57
23.5417333333,87.3001016667,14:53:58
23.5417333333,87.3001016667,14:53:59
23.5417333333,87.3001016667,14:54:00
23.5417283333,87.3000983333,14:54:01
23.5417133333,87.30009,14:54:02
23.54169,87.3000766667,14:54:03
23.5416633333,87.3000566667,14:54:04
23.5416333333,87.3000333333,14:54:05
23.5416016667,87.3000116667,14:54:06
23.5415683333,87.2999866667,14:54:07
23.5415333333,87.2999616667,14:54:08
23.5414933333,87.2999366667,14:54:09
23.54145,87.2999083333,14:54:10
23.5414033333,87.299875,14:54:11
23.5413533333,87.2998416667,14:54:12
23.5413,87.2998066667,14:54:13
23.54125,87.2997716667,14:54:14
23.5412,87.2997366667,14:54:15
23.5411516667,87.2997016667,14:54:16
23.5411066667,87.29967,14:54:17
23.5410633333,87.2996383333,14:54:18
23.5410216667,87.2996083333,14:54:19
23.5409766667,87.2995766667,14:54:20
23.5409266667,87.299545,14:54:21
23.5408766667,87.2995133333,14:54:22
23.5408266667,87.2994783333,14:54:23
23.5407766667,87.299445,14:54:24
23.5407266667,87.299415,14:54:25
23.54068,87.2993833333,14:54:26
23.540635,87.2993566667,14:54:27
23.5405916667,87.2993283333,14:54:28
23.5405533333,87.299305,14:54:29
23.5405216667,87.2992833333,14:54:30
23.5404966667,87.2992633333,14:54:31
23.54048,87.2992483333,14:54:32
23.54047,87.2992416667,14:54:33
23.54046,87.2992333333,14:54:34
23.5404483333,87.2992283333,14:54:35
23.54043,87.29922,14:54:36
23.5404116667,87.2992083333,14:54:37
23.54039,87.2991933333,14:54:38
23.540365,87.2991766667,14:54:39
23.5403366667,87.2991583333,14:54:40
23.54031,87.2991416667,14:54:41
23.5402866667,87.2991266667,14:54:42
23.5402666667,87.2991166667,14:54:43
23.5402533333,87.2991083333,14:54:44
23.5402366667,87.2991033333,14:54:45
23.5402183333,87.2991,14:54:46
23.5401966667,87.2990916667,14:54:47
23.5401683333,87.2990733333,14:54:48
23.540135,87.2990533333,14:54:49
23.5400983333,87.2990316667,14:54:50
